批次代码,批次名称,院校代号,院校名称,专业组代号,专业代号,招生专业名称,专业组科目要求,层次代码,层次名称,学制名称,执行计划数,外语语种,招生年度,考试名称
1,春季高考,408,上海外国语大学,01,01,阿拉伯语,无,1,本科,四年,10.0,英语、阿拉伯语,2025.0,春季高考
1,春季高考,408,上海外国语大学,02,02,朝鲜语,无,1,本科,四年,10.0,英语、朝鲜语,2025.0,春季高考
1,春季高考,409,上海海事大学,01,01,航海技术,无,1,本科,四年,35.0,英语,2025.0,春季高考
1,春季高考,409,上海海事大学,02,02,轮机工程,无,1,本科,四年,35.0,英语,2025.0,春季高考
1,春季高考,410,上海理工大学,01,01,工科试验班,无,1,本科,四年,35.0,英语,2025.0,春季高考
1,春季高考,410,上海理工大学,02,02,机械设计制造及其自动化,无,1,本科,四年,25.0,英语,2025.0,春季高考
1,春季高考,411,上海杉达学院,01,01,国际经济与贸易(中外合作办学),无,1,本科,四年,30.0,英语,2025.0,春季高考
1,春季高考,411,上海杉达学院,02,02,财务管理,无,1,本科,四年,30.0,英语,2025.0,春季高考
1,春季高考,411,上海杉达学院,03,03,金融学,无,1,本科,四年,30.0,英语,2025.0,春季高考
1,春季高考,411,上海杉达学院,04,04,金融学,无,1,本科,四年,40.0,英语,2025.0,春季高考
1,春季高考,411,上海杉达学院,05,05,会计学,无,1,本科,四年,40.0,英语,2025.0,春季高考
1,春季高考,411,上海杉达学院,06,06,酒店管理,无,1,本科,四年,40.0,英语,2025.0,春季高考
1,春季高考,411,上海杉达学院,07,07,旅游管理,无,1,本科,四年,40.0,英语,2025.0,春季高考
1,春季高考,411,上海杉达学院,08,08,时尚传播,无,1,本科,四年,20.0,英语,2025.0,春季高考
1,春季高考,411,上海杉达学院,09,09,汉语国际教育,无,1,本科,四年,40.0,英语,2025.0,春季高考
1,春季高考,411,上海杉达学院,10,10,护理学,无,1,本科,四年,70.0,英语,2025.0,春季高考
1,春季高考,411,上海杉达学院,11,11,康复治疗学,无,1,本科,四年,30.0,英语,2025.0,春季高考
1,春季高考,411,上海杉达学院,12,12,电子商务,无,1,本科,四年,30.0,英语,2025.0,春季高考
1,春季高考,411,上海杉达学院,13,13,软件工程,无,1,本科,四年,40.0,英语,2025.0,春季高考
1,春季高考,411,上海杉达学院,14,14,日语,无,1,本科,四年,30.0,英语和日语,2025.0,春季高考
1,春季高考,411,上海杉达学院,15,15,风景园林,无,1,本科,四年,40.0,英语,2025.0,春季高考
1,春季高考,412,华东政法大学,01,01,侦查学,无,1,本科,四年,20.0,英语,2025.0,春季高考
1,春季高考,412,华东政法大学,02,02,法学,无,1,本科,四年,50.0,英语,2025.0,春季高考
1,春季高考,412,华东政法大学,03,03,政治学与行政学,无,1,本科,四年,20.0,英语,2025.0,春季高考
1,春季高考,413,上海对外经贸大学,01,01,商务英语,无,1,本科,四年,30.0,英语,2025.0,春季高考
