批次代码,批次名称,院校代号,院校名称,专业组代号,专业代号,招生专业名称,专业组科目要求,层次代码,层次名称,学制名称,计划执行数,外语语种,招生年度,考试名称
0,零志愿,031,清华大学,01,01,文科试验班类(至善书院),不限,1,本科,4,1.0,不限,2025.0,秋季高考
0,零志愿,031,清华大学,01,02,文科试验班类(新雅书院),不限,1,本科,4,1.0,不限,2025.0,秋季高考
0,零志愿,031,清华大学,01,03,法学类,不限,1,本科,4,2.0,不限,2025.0,秋季高考
0,零志愿,031,清华大学,02,04,工科试验班(自强书院),物理和化学,1,本科,4,2.0,不限,2025.0,秋季高考
0,零志愿,031,清华大学,02,05,工科试验班(建筑、规划、景观),物理和化学,1,本科,4,1.0,不限,2025.0,秋季高考
0,零志愿,031,清华大学,02,06,工科试验班(笃实书院),物理和化学,1,本科,4,1.0,不限,2025.0,秋季高考
0,零志愿,031,清华大学,02,07,工科试验班(为先书院),物理和化学,1,本科,4,1.0,不限,2025.0,秋季高考
0,零志愿,031,清华大学,02,08,工科试验班(秀钟书院),物理和化学,1,本科,4,1.0,不限,2025.0,秋季高考
0,零志愿,031,清华大学,02,09,工科试验班(智能制造与装备类),物理和化学,1,本科,4,1.0,不限,2025.0,秋季高考
0,零志愿,031,清华大学,02,10,工科试验班(紫荆书院),物理和化学,1,本科,4,1.0,不限,2025.0,秋季高考
0,零志愿,031,清华大学,02,11,工科试验班(水木书院),物理和化学,1,本科,4,2.0,不限,2025.0,秋季高考
0,零志愿,031,清华大学,02,12,工科试验班(无穹书院),物理和化学,1,本科,4,2.0,不限,2025.0,秋季高考
0,零志愿,031,清华大学,02,13,理科试验班(新雅书院),物理和化学,1,本科,4,1.0,不限,2025.0,秋季高考
0,零志愿,031,清华大学,02,14,理科试验班(数理类),物理和化学,1,本科,4,2.0,不限,2025.0,秋季高考
0,零志愿,031,清华大学,02,15,理科试验班(化生类),物理和化学,1,本科,4,1.0,不限,2025.0,秋季高考
0,零志愿,031,清华大学,02,16,理科试验班(经济、金融与管理),物理和化学,1,本科,4,2.0,不限,2025.0,秋季高考
0,零志愿,031,清华大学,02,17,电子信息类,物理和化学,1,本科,4,3.0,不限,2025.0,秋季高考
0,零志愿,031,清华大学,02,18,自动化类,物理和化学,1,本科,4,2.0,不限,2025.0,秋季高考
